"Name","Rating","Difficulty_None","Difficulty_Beginner Level","Difficulty_Intermediate Level","Difficulty_Advanced Level","Tags"
"""Making"" Progress Teach-Out","None",0,1,0,0,"['Social Sciences', 'Governance and Society']"
"(Business Writing) الكتابة في مجال الأعمال","None",0,1,0,0,"['Business', 'Business Essentials']"
"(Giving Helpful Feedback) إعطاء الملاحظات المفيدة","4.8",1,0,0,0,"['Business', 'Business Essentials']"
"(Successful Presentation) العرض التقديمي الناجح","4.9",0,1,0,0,"['Business', 'Business Essentials']"
".Net平台下的软件开发技术毕业项目","None",1,0,0,0,"['Computer Science', 'Software Development']"
"1.- El Cálculo - Modelo Lineal","4.7",1,0,0,0,"['Math and Logic', 'Math and Logic']"
"2.- El Cálculo - Modelo Cuadrático","4.7",1,0,0,0,"['Math and Logic', 'Math and Logic']"
"20世纪西方音乐 Western Music in the 20th Century","4.3",0,1,0,0,"['Arts and Humanities', 'Music and Art']"
"3-Axis Machining with Autodesk Fusion 360","5",0,0,0,1,"['Physical Science and Engineering', 'Mechanical Engineering']"
"3.- El Cálculo - Modelo Cúbico","4.7",1,0,0,0,"['Math and Logic', 'Math and Logic']"
"3D Art and Audio Pipeline","4.3",0,0,1,0,"['Computer Science', 'Software Development']"
"3D CAD Application","4.9",0,0,1,0,"['Physical Science and Engineering', 'Mechanical Engineering']"
"3D CAD Fundamental","4.8",0,1,0,0,"['Physical Science and Engineering', 'Mechanical Engineering']"
"3D Data Visualization for Science Communication","None",0,1,0,0,"['Data Science', 'Data Analysis']"
"3D Graphics in Android: Sensors and VR","None",0,0,0,1,"['Computer Science', 'Mobile and Web Development']"
"Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE","4.8",0,0,1,0,"['Health', 'Patient Care']"
"Brand & Content Marketing","4.5",0,0,1,0,"['Arts and Humanities', 'History']"
" Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado","5",0,1,0,0,"['Social Sciences', 'Economics']"
"FPGA computing systems: Background knowledge and introductory materials","4.6",0,1,0,0,"['Computer Science', 'Design and Product']"
"Future Healthcare Payment Models","4.4",0,1,0,0,"['Health', 'Healthcare Management']"
"Введение в iOS-разработку","4.4",0,0,1,0,"['Computer Science', 'Mobile and Web Development']"
"Geospatial and Environmental Analysis","4.8",0,0,1,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Combinatorics and Probability","4.6",0,1,0,0,"['Computer Science', 'Algorithms']"
"Introducción a la Contabilidad Financiera","4.6",1,0,0,0,"['Business', 'Business Strategy']"
"Surveillance Systems: Analysis, Dissemination, and Special Systems","None",0,1,0,0,"['Health', 'Public Health']"
"Базы данных (Databases)","4.3",1,0,0,0,"['Data Science', 'Data Analysis']"
"Finance for Everyone: Debt","4.7",1,0,0,0,"['Business', 'Finance']"
"Managing Big Data with MySQL","4.7",1,0,0,0,"['Data Science', 'Data Analysis']"
"Managing an Agile Team","4.7",1,0,0,0,"['Computer Science', 'Design and Product']"
"ООП и паттерны проектирования в Python","3.8",0,0,1,0,"['Computer Science', 'Software Development']"
"Introduction to advanced tomography","None",1,0,0,0,"['Physical Science and Engineering', 'Physics and Astronomy']"
"Launching into Machine Learning en Français","None",0,0,1,0,"['Data Science', 'Machine Learning']"
"Creative Programming for Digital Media & Mobile Apps","4.3",1,0,0,0,"['Computer Science', 'Software Development']"
"Spanish for Successful Communication in Healthcare Settings","4.8",0,0,1,0,"['Health', 'Patient Care']"
"Digital Product Management: Modern Fundamentals","4.7",0,1,0,0,"['Business', 'Leadership and Management']"
"Digital Competition in Financial Services","4.6",0,1,0,0,"['Business', 'Business Strategy']"
"Mathematics for Machine Learning: PCA","4",0,0,1,0,"['Data Science', 'Machine Learning']"
"Programming Foundations with JavaScript, HTML and CSS","4.6",0,1,0,0,"['Computer Science', 'Mobile and Web Development']"
"Погружение в Python","4.7",0,0,1,0,"['Computer Science', 'Software Development']"
"Probabilistic Graphical Models 2: Inference","4.6",0,0,0,1,"['Data Science', 'Machine Learning']"
"Evidence-based Toxicology","4.8",0,1,0,0,"['Health', 'Basic Science']"
"Identifying Social Entrepreneurship Opportunities","4.6",0,1,0,0,"['Business', 'Entrepreneurship']"
"Launching into Machine Learning","4.6",0,0,1,0,"['Data Science', 'Machine Learning']"
"Global Strategy I: How The Global Economy Works","4.9",1,0,0,0,"['Business', 'Business Strategy']"
"Quantitative Research","4.2",0,0,1,0,"['Business', 'Marketing']"
"Sprachtechnologie in den Digital Humanities","4.8",0,1,0,0,"['Data Science', 'Data Analysis']"
"Learn to Program: The Fundamentals","4.8",0,1,0,0,"['Computer Science', 'Software Development']"
"Evaluación educativa del y para el aprendizaje en educación superior","4.8",0,1,0,0,"['Social Sciences', 'Education']"
"Social Computing","4.4",1,0,0,0,"['Social Sciences', 'Governance and Society']"
"Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital","4.7",1,0,0,0,"['Math and Logic', 'Math and Logic']"
"Getting started in cryo-EM","4.9",1,0,0,0,"['Health', 'Research']"
"Forensic Accounting and Fraud Examination","4.7",1,0,0,0,"['Business', 'Finance']"
"Compra programática de medios: Publicidad online en tiempo real","4.7",0,1,0,0,"['Business', 'Marketing']"
"Strategic Business Management - Macroeconomics","4.8",0,1,0,0,"['Business', 'Business Strategy']"
"Data in Database","3.6",0,0,1,0,"['Information Technology', 'Data Management']"
"Exploring ​and ​Preparing ​your ​Data with BigQuery 日本語版","None",0,1,0,0,"['Information Technology', 'Data Management']"
"Competencias digitales. Bases de datos: Access","4.7",0,1,0,0,"['Personal Development', 'Personal Development']"
"世界空间、法国视角下的国际研究","4.7",0,1,0,0,"['Social Sciences', 'Governance and Society']"
"Climate Change and Water in Mountains: A Global Concern","4.5",0,0,1,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Introduction to Systems Biology","4.3",1,0,0,0,"['Health', 'Basic Science']"
"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases","4.7",0,0,1,0,"['Health', 'Basic Science']"
"Managerial Accounting Fundamentals","4.8",0,1,0,0,"['Business', 'Finance']"
"The Strategy of Content Marketing","4.5",0,0,1,0,"['Business', 'Marketing']"
"Lesson | Get Ready for the Interview","None",1,0,0,0,"['Language Learning', 'Learning English']"
"The Science of Training Young Athletes","4.8",0,1,0,0,"['Personal Development', 'Personal Development']"
"Build Your First Android App (Project-Centered Course)","4.3",1,0,0,0,"['Computer Science', 'Mobile and Web Development']"
"Avatar Psychology for Designers","None",0,1,0,0,"['Computer Science', 'Software Development']"
"Building Resilient Streaming Analytics Systems on GCP","4.8",0,0,1,0,"['Information Technology', 'Cloud Computing']"
"Introduction to Applied Machine Learning","4.7",0,0,1,0,"['Data Science', 'Machine Learning']"
"Introduction to Climate Change and Health","4.7",0,1,0,0,"['Health', 'Public Health']"
"Экономика предприятия","4.5",1,0,0,0,"['Business', 'Business Essentials']"
"Organic Solar Cells - Theory and Practice","4.6",1,0,0,0,"['Physical Science and Engineering', 'Chemistry']"
"Introducción a la Calidad","4.6",1,0,0,0,"['Business', 'Business Strategy']"
"Analytic Combinatorics","4.7",0,0,1,0,"['Math and Logic', 'Math and Logic']"
"Supply chain management: Be global","4.8",0,1,0,0,"['Business', 'Business Strategy']"
"Практики управленческой аналитики в MS Excel","4.8",0,0,1,0,"['Business', 'Business Essentials']"
"Introducción al mundo de las negociaciones","4.8",1,0,0,0,"['Business', 'Business Essentials']"
"Desenvolvimento Ágil com Padrões de Projeto","4.7",0,0,1,0,"['Computer Science', 'Software Development']"
"CAPSTONE: Your Leadership Challenge","4.5",1,0,0,0,"['Business', 'Leadership and Management']"
"Learning Chinese : Start From Scratch (零到一學中文)","4.5",0,1,0,0,"['Language Learning', 'Other Languages']"
"Foundations of Teaching for Learning: Planning for Teaching and Learning","4.8",1,0,0,0,"['Social Sciences', 'Education']"
"The Modern World, Part One: Global History from 1760 to 1910","4.8",0,1,0,0,"['Arts and Humanities', 'History']"
"Effective Problem-Solving and Decision-Making","4.3",1,0,0,0,"['Business', 'Business Essentials']"
"Health for All Through Primary Health Care","4.7",1,0,0,0,"['Health', 'Patient Care']"
"Обобщенные линейные модели","None",0,0,1,0,"['Data Science', 'Probability and Statistics']"
"Introduction to Complex Analysis","4.8",0,0,1,0,"['Math and Logic', 'Math and Logic']"
"Organizational Design and Management","4.7",0,1,0,0,"['Business', 'Business Strategy']"
"Internet of Things: Communication Technologies","4.5",1,0,0,0,"['Computer Science', 'Computer Security and Networks']"
"Global Environmental Management","4.6",0,0,1,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"K-12 Blended & Online Learning","4.7",1,0,0,0,"['Social Sciences', 'Education']"
"Inglés Empresarial: Gestión y Liderazgo","4.7",1,0,0,0,"['Language Learning', 'Learning English']"
"خيارات لسانية لمحترفي الإعلام باللغة العربية","4.9",0,1,0,0,"['Language Learning', 'Learning English']"
"Introduction to Deep Learning","4.6",0,0,0,1,"['Data Science', 'Machine Learning']"
"Creative Writing: The Craft of Style","4.7",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"Брендинг в инновациях - новая коммуникационная реальность","5",1,0,0,0,"['Business', 'Marketing']"
"Recommender Systems:  Evaluation and Metrics","4.3",1,0,0,0,"['Data Science', 'Machine Learning']"
"Giving 2.0: The MOOC","4.6",1,0,0,0,"['Business', 'Business Strategy']"
"Lesson | Business English Skills: Introducing Yourself in Business Settings","None",0,0,1,0,"['Language Learning', 'Learning English']"
"Survey analysis to Gain Marketing Insights","4.4",1,0,0,0,"['Business', 'Marketing']"
"Construction Project Management","4.8",0,1,0,0,"['Business', 'Business Strategy']"
"Ignite Your Everyday Creativity","4.4",1,0,0,0,"['Personal Development', 'Personal Development']"
"Logic for Economists","4.4",0,0,0,1,"['Math and Logic', 'Math and Logic']"
"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance","4.4",1,0,0,0,"['Business', 'Leadership and Management']"
"Negocios Internacionales I","4.7",1,0,0,0,"['Business', 'Business Strategy']"
"Физика в опытах. Часть 3. Колебания и молекулярная физика","4.8",1,0,0,0,"['Physical Science and Engineering', 'Physics and Astronomy']"
"Mathematical Biostatistics Boot Camp 1","4.5",1,0,0,0,"['Math and Logic', 'Math and Logic']"
"Introduction to Research for Essay Writing","4.7",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"Intelligence Tools for the Digital Age","4.6",0,1,0,0,"['Business', 'Leadership and Management']"
"Tinkering Fundamentals: Circuits","4.7",0,1,0,0,"['Personal Development', 'Personal Development']"
"Marketing Internacional en Asia","4.8",0,1,0,0,"['Business', 'Marketing']"
"Foundations of Public Health Practice: Behaviour & Behaviour Change","None",0,0,0,1,"['Health', 'Public Health']"
"Designing, Running, and Analyzing Experiments","3.7",0,0,1,0,"['Computer Science', 'Design and Product']"
"Контекстная реклама. Google AdWords","4.6",0,0,1,0,"['Business', 'Marketing']"
"Valuation for Startups Using Multiple Approach","4.2",0,1,0,0,"['Business', 'Finance']"
"Gestion et Politique de l'eau","4.6",1,0,0,0,"['Social Sciences', 'Law']"
"Бизнес-процессы, организационное проектирование, механизмы и системы управления","4.3",0,0,1,0,"['Business', 'Leadership and Management']"
"Administração Financeira","4.8",0,1,0,0,"['Business', 'Finance']"
"Global Postharvest Loss Prevention: Fundamentals, Technologies, and Actors","4.8",0,1,0,0,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
"Blockchain Platforms","4.6",0,0,1,0,"['Computer Science', 'Software Development']"
"Invitation to Mathematics     הזמנה למתמטיקה","4.5",1,0,0,0,"['Math and Logic', 'Math and Logic']"
"Человеческий фактор в разработке корпоративных систем","None",1,0,0,0,"['Business', 'Leadership and Management']"
"Креативная коммуникация: методы и инструменты","4.7",0,0,0,1,"['Arts and Humanities', 'Music and Art']"
"Creating New BigQuery Datasets and Visualizing Insights","4.6",0,1,0,0,"['Information Technology', 'Data Management']"
"Mindware: Critical Thinking for the Information Age","4.7",0,1,0,0,"['Health', 'Psychology']"
"Healthy Practices: Nutrition, Physical Activity, and Community and Family Participation","4.9",0,1,0,0,"['Health', 'Nutrition']"
"Android App Components - Services, Local IPC, and Content Providers","4.3",0,1,0,0,"['Computer Science', 'Mobile and Web Development']"
"Big Data: visualización de datos","4.6",0,0,1,0,"['Data Science', 'Data Analysis']"
"Strategic Career Self-Management","4.4",1,0,0,0,"['Personal Development', 'Personal Development']"
"Web Connectivity and Security in Embedded Systems","4.6",0,0,1,0,"['Computer Science', 'Computer Security and Networks']"
"Introduction to Spreadsheets and Models","4.2",1,0,0,0,"['Business', 'Business Essentials']"
"Powerful Tools for Teaching and Learning: Web 2.0 Tools","4.6",0,1,0,0,"['Social Sciences', 'Education']"
"Social Media Data Analytics","4.1",0,0,1,0,"['Data Science', 'Data Analysis']"
"Advanced Portfolio Construction and Analysis with Python","4.8",0,0,1,0,"['Business', 'Finance']"
"Marketing Analytics","4.6",0,1,0,0,"['Business', 'Marketing']"
"Creativity Toolkit I: Changing Perspectives","4.7",1,0,0,0,"['Business', 'Entrepreneurship']"
"The Importance and Power of Music in our Society","4.6",0,1,0,0,"['Arts and Humanities', 'Music and Art']"
"International Security Management","None",0,1,0,0,"['Social Sciences', 'Governance and Society']"
"International Law In Action: Investigating and Prosecuting International Crimes","4.8",1,0,0,0,"['Social Sciences', 'Law']"
"Decision-Making and Scenarios","4.6",1,0,0,0,"['Business', 'Business Essentials']"
"Fundamentals of Visualization with Tableau","4.5",0,1,0,0,"['Data Science', 'Data Analysis']"
"Data Mining Project","4.6",1,0,0,0,"['Data Science', 'Data Analysis']"
"Diode - pn Junction and Metal Semiconductor Contact","4.1",0,0,0,1,"['Physical Science and Engineering', 'Electrical Engineering']"
"Managerial Economics and Business Analysis Capstone","4.6",0,1,0,0,"['Business', 'Business Essentials']"
"A Life of Happiness and Fulfillment","4.8",1,0,0,0,"['Health', 'Psychology']"
"Machine Learning with Python","4.7",0,0,1,0,"['Data Science', 'Machine Learning']"
"The Music of the Rolling Stones, 1962-1974","4.8",1,0,0,0,"['Arts and Humanities', 'Music and Art']"
"Innovation Through Design: Think, Make, Break, Repeat","4.8",0,1,0,0,"['Business', 'Entrepreneurship']"
"Improving Communication Skills","4.6",0,1,0,0,"['Personal Development', 'Personal Development']"
"Creatividad computacional","None",0,0,1,0,"['Computer Science', 'Algorithms']"
"Communicating Data Science Results","3.6",1,0,0,0,"['Data Science', 'Data Analysis']"
"Design Thinking","4.6",0,1,0,0,"['Business', 'Entrepreneurship']"
"Modern American Poetry","4.5",0,1,0,0,"['Arts and Humanities', 'Music and Art']"
"More Chinese for Beginners","4.7",1,0,0,0,"['Language Learning', 'Other Languages']"
"Aspectos básicos de la planificación y la gestión de proyectos","4.9",0,1,0,0,"['Business', 'Business Essentials']"
"The Modern and the Postmodern (Part 2)","4.7",1,0,0,0,"['Arts and Humanities', 'History']"
"Marketing Gerencial","4.8",0,0,1,0,"['Business', 'Finance']"
"Основы микроэкономики (Microeconomics Principles)","4.5",0,1,0,0,"['Social Sciences', 'Economics']"
"Leading transformations: Manage change","4.5",0,1,0,0,"['Business', 'Leadership and Management']"
"Cómo autoconstruir tu vivienda. Segunda etapa","4.8",0,1,0,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"Растровая графика. Adobe Photoshop CC","4.6",0,1,0,0,"['Computer Science', 'Design and Product']"
"Entrepreneurship Strategy: From Ideation to Exit","4.8",0,1,0,0,"['Business', 'Leadership and Management']"
"Conflict Resolution Skills","4.3",1,0,0,0,"['Business', 'Business Essentials']"
"Serious Gaming","4.5",1,0,0,0,"['Social Sciences', 'Education']"
"Введение в системное проектирование","4.4",0,1,0,0,"['Physical Science and Engineering', 'Research Methods']"
"Advanced Deployment Scenarios with TensorFlow","None",0,0,1,0,"['Computer Science', 'Software Development']"
"The Science of Success: What Researchers Know that You Should Know","4.8",0,1,0,0,"['Business', 'Leadership and Management']"
"Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)","4.9",1,0,0,0,"['Computer Science', 'Algorithms']"
"Toledo: Deciphering Secrets of Medieval Spain","4.6",0,0,1,0,"['Arts and Humanities', 'History']"
"Introduction to Data Analytics for Business","4.7",1,0,0,0,"['Data Science', 'Data Analysis']"
"Getting Your Film off the Ground","4.4",0,1,0,0,"['Arts and Humanities', 'Music and Art']"
"Hot Topics in Criminal Justice","4.9",0,1,0,0,"['Social Sciences', 'Law']"
"Learning, Knowledge, and Human Development ","4",0,1,0,0,"['Social Sciences', 'Education']"
"Front-End Web UI Frameworks and Tools: Bootstrap 4","4.8",0,0,1,0,"['Computer Science', 'Mobile and Web Development']"
"Introducción a la producción musical","4.9",0,0,1,0,"['Arts and Humanities', 'Music and Art']"
"Elastic Cloud Infrastructure: Containers and Services dalam bahasa Indonesia","4.9",0,0,1,0,"['Information Technology', 'Cloud Computing']"
"Financial Analysis for Startups","4.4",0,1,0,0,"['Business', 'Finance']"
"Arts and Heritage Management","4.8",1,0,0,0,"['Business', 'Marketing']"
"Fundamentals of Quantitative Modeling","4.6",1,0,0,0,"['Business', 'Business Essentials']"
"Using clinical health data for better healthcare","4.6",0,1,0,0,"['Health', 'Health Informatics']"
"Enterprise Architecture","None",0,1,0,0,"['Business', 'Business Essentials']"
"Teach English Now! Capstone Project 2","4.9",0,1,0,0,"['Language Learning', 'Learning English']"
"Introduction to CAD, CAM, and Practical CNC Machining","4.9",0,0,0,1,"['Physical Science and Engineering', 'Mechanical Engineering']"
"Психология коммуникации","4.6",0,1,0,0,"['Social Sciences', 'Governance and Society']"
"Inferential and Predictive Statistics for Business","4.8",1,0,0,0,"['Business', 'Business Essentials']"
"Summary Statistics in Public Health","4.8",0,1,0,0,"['Health', 'Public Health']"
"Unordered Data Structures","4.8",1,0,0,0,"['Computer Science', 'Software Development']"
"What is Social?","4.6",1,0,0,0,"['Business', 'Marketing']"
"Итоговый проект специализации ""Финансовые инструменты для частного инвестора""","4.5",1,0,0,0,"['Business', 'Finance']"
"Networking in GCP: Hybrid Connectivity and Network Management","4.8",0,0,1,0,"['Information Technology', 'Networking']"
"Managerial Accounting: Cost Behaviors, Systems, and Analysis","4.7",1,0,0,0,"['Business', 'Finance']"
"Introduction to English Common Law","4.8",0,1,0,0,"['Social Sciences', 'Law']"
"Professional Responsibility and Ethics for Accountants","None",1,0,0,0,"['Business', 'Leadership and Management']"
"Sustainable Business Enterprises","4.4",1,0,0,0,"['Business', 'Business Strategy']"
"Composição: Escrevendo a letra","4.9",0,1,0,0,"['Arts and Humanities', 'Music and Art']"
"Gestión estratégica de Escuelas en Contextos Rurales","4.9",0,1,0,0,"['Social Sciences', 'Education']"
"Teaching Impacts of Technology: Workplace of the Future","None",0,1,0,0,"['Social Sciences', 'Education']"
"Expanded FPGA Training with NIOS II","None",0,0,1,0,"['Physical Science and Engineering', 'Electrical Engineering']"
"Anatomy: Cardiovascular, Respiratory and Urinary Systems","4.8",0,1,0,0,"['Health', 'Basic Science']"
"Water Supply and Sanitation Policy in Developing Countries Part 2: Developing Effective Interventions","4.4",0,0,1,0,"['Social Sciences', 'Governance and Society']"
