"Name","Rating","Tags","Difficulty.f"
"""Making"" Progress Teach-Out","None","['Social Sciences', 'Governance and Society']","Beginner Level"
"(Business Writing) الكتابة في مجال الأعمال","None","['Business', 'Business Essentials']","Beginner Level"
"(Giving Helpful Feedback) إعطاء الملاحظات المفيدة","4.8","['Business', 'Business Essentials']","None"
"(Successful Presentation) العرض التقديمي الناجح","4.9","['Business', 'Business Essentials']","Beginner Level"
".Net平台下的软件开发技术毕业项目","None","['Computer Science', 'Software Development']","None"
"1.- El Cálculo - Modelo Lineal","4.7","['Math and Logic', 'Math and Logic']","None"
"2.- El Cálculo - Modelo Cuadrático","4.7","['Math and Logic', 'Math and Logic']","None"
"20世纪西方音乐 Western Music in the 20th Century","4.3","['Arts and Humanities', 'Music and Art']","Beginner Level"
"3-Axis Machining with Autodesk Fusion 360","5","['Physical Science and Engineering', 'Mechanical Engineering']","Advanced Level"
"3.- El Cálculo - Modelo Cúbico","4.7","['Math and Logic', 'Math and Logic']","None"
"3D Art and Audio Pipeline","4.3","['Computer Science', 'Software Development']","Intermediate Level"
"3D CAD Application","4.9","['Physical Science and Engineering', 'Mechanical Engineering']","Intermediate Level"
"3D CAD Fundamental","4.8","['Physical Science and Engineering', 'Mechanical Engineering']","Beginner Level"
"3D Data Visualization for Science Communication","None","['Data Science', 'Data Analysis']","Beginner Level"
"3D Graphics in Android: Sensors and VR","None","['Computer Science', 'Mobile and Web Development']","Advanced Level"
"Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE","4.8","['Health', 'Patient Care']","Intermediate Level"
"Brand & Content Marketing","4.5","['Arts and Humanities', 'History']","Intermediate Level"
" Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado","5","['Social Sciences', 'Economics']","Beginner Level"
"FPGA computing systems: Background knowledge and introductory materials","4.6","['Computer Science', 'Design and Product']","Beginner Level"
"Future Healthcare Payment Models","4.4","['Health', 'Healthcare Management']","Beginner Level"
"Введение в iOS-разработку","4.4","['Computer Science', 'Mobile and Web Development']","Intermediate Level"
"Geospatial and Environmental Analysis","4.8","['Physical Science and Engineering', 'Environmental Science and Sustainability']","Intermediate Level"
"Combinatorics and Probability","4.6","['Computer Science', 'Algorithms']","Beginner Level"
"Introducción a la Contabilidad Financiera","4.6","['Business', 'Business Strategy']","None"
"Surveillance Systems: Analysis, Dissemination, and Special Systems","None","['Health', 'Public Health']","Beginner Level"
"Базы данных (Databases)","4.3","['Data Science', 'Data Analysis']","None"
"Finance for Everyone: Debt","4.7","['Business', 'Finance']","None"
"Managing Big Data with MySQL","4.7","['Data Science', 'Data Analysis']","None"
"Managing an Agile Team","4.7","['Computer Science', 'Design and Product']","None"
"ООП и паттерны проектирования в Python","3.8","['Computer Science', 'Software Development']","Intermediate Level"
"Introduction to advanced tomography","None","['Physical Science and Engineering', 'Physics and Astronomy']","None"
"Launching into Machine Learning en Français","None","['Data Science', 'Machine Learning']","Intermediate Level"
"Creative Programming for Digital Media & Mobile Apps","4.3","['Computer Science', 'Software Development']","None"
"Spanish for Successful Communication in Healthcare Settings","4.8","['Health', 'Patient Care']","Intermediate Level"
"Digital Product Management: Modern Fundamentals","4.7","['Business', 'Leadership and Management']","Beginner Level"
