"course_title","is_paid_True","is_paid_False","price","num_subscribers","num_reviews","num_lectures","level_All Levels","level_Beginner Level","level_Intermediate Level","level_Expert Level","content_duration","subject_Business Finance","subject_Graphic Design","subject_Musical Instruments","subject_Web Development"
"Ultimate Investment Banking Course",1,0,200,2147,23,51,1,0,0,0,1.5,1,0,0,0
"Complete GST Course & Certification - Grow Your CA Practice",1,0,75,2792,923,274,1,0,0,0,39,1,0,0,0
"Financial Modeling for Business Analysts and Consultants",1,0,45,2174,74,51,0,0,1,0,2.5,1,0,0,0
"Beginner to Pro - Financial Analysis in Excel 2017",1,0,95,2451,11,36,1,0,0,0,3,1,0,0,0
"How To Maximize Your Profits Trading Options",1,0,200,1276,45,26,0,0,1,0,2,1,0,0,0
"Trading Penny Stocks: A Guide for All Levels In 2017",1,0,150,9221,138,25,1,0,0,0,3,1,0,0,0
"Investing And Trading For Beginners: Mastering Price Charts",1,0,65,1540,178,26,0,1,0,0,1,1,0,0,0
"Trading Stock Chart Patterns For Immediate, Explosive Gains",1,0,95,2917,148,23,1,0,0,0,2.5,1,0,0,0
"Options Trading 3 : Advanced Stock Profit and Success Method",1,0,195,5172,34,38,0,0,0,1,2.5,1,0,0,0
"The Only Investment Strategy You Need For Your Retirement",1,0,200,827,14,15,1,0,0,0,1,1,0,0,0
"Forex Trading Secrets of the Pros With Amazon's AWS",1,0,200,4284,93,76,1,0,0,0,5,1,0,0,0
"Trading Options With Money Flow",1,0,200,1380,42,17,1,0,0,0,1,1,0,0,0
"Financial Management Risk and Return For Securities",1,0,30,3607,21,19,1,0,0,0,1.5,1,0,0,0
"Forex Trading Course: Work Smarter Not Harder Proven Results",1,0,195,4061,52,16,1,0,0,0,2,1,0,0,0
"Python Algo Trading: Sentiment Trading with News",1,0,200,294,19,42,1,0,0,0,7,1,0,0,0
"Short Selling: Learn To Sell Stocks Before The Fall",1,0,75,2276,106,19,0,0,1,0,1.5,1,0,0,0
"Basic Technical Analysis: Learn the structure of the market",1,0,20,4919,79,16,0,1,0,0,1.5,1,0,0,0
"The Complete Chart Pattern Trading Course: A Proven Approach",1,0,200,2666,115,52,1,0,0,0,4,1,0,0,0
"7 Deadly Mistakes of Investing that Will Slash Your Profits!",1,0,50,5354,24,23,1,0,0,0,1.5,1,0,0,0
"Financial Statements Made Easy",1,0,95,8095,249,12,0,1,0,0,0.583333333333333,1,0,0,0
"Winning Forex Trading with Live Forex Trading Examples",1,0,200,809,3,25,1,0,0,0,2,1,0,0,0
"Forex Traders - Create Your First Trading Robot. No Coding!",1,0,200,2295,84,39,1,0,0,0,4,1,0,0,0
"Create A Business From Home Trading Stocks Today In 2017",1,0,75,10149,83,16,1,0,0,0,2,1,0,0,0
"Introduction to Accounting : Mastering Financial Statements",1,0,50,1916,38,23,0,1,0,0,1,1,0,0,0
"The Complete Ethereum Course: Get .01 Ether In Your Wallet",1,0,45,2507,333,40,1,0,0,0,2,1,0,0,0
"Beginner to Pro in PowerPoint: Complete PowerPoint Training",1,0,150,5786,518,50,1,0,0,0,5,1,0,0,0
"Investing 101: The Complete Online Investing Course",1,0,200,5334,373,42,1,0,0,0,4.5,1,0,0,0
"Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager",1,0,175,4005,237,25,0,0,1,0,2,1,0,0,0
"Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5)",1,0,150,2877,103,81,1,0,0,0,4.5,1,0,0,0
"Forex Trading: Your Complete Guide to Get Started Like a Pro",1,0,140,1026,25,37,0,1,0,0,3,1,0,0,0
"Python Algo Stock Trading: Automate Your Trading!",1,0,95,1165,21,41,0,1,0,0,2.5,1,0,0,0
"THE Forex Robot: Incredible ROI (Robot Included)",1,0,200,1843,171,35,1,0,0,0,1.5,1,0,0,0
"The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet",1,0,45,8797,449,80,1,0,0,0,6.5,1,0,0,0
"Mastering High Probability Iron Condor Options Trading",1,0,200,1030,11,22,1,0,0,0,2,1,0,0,0
"The Complete Short Course on Ethereum",1,0,200,1041,12,28,1,0,0,0,1.5,1,0,0,0
"Options Trading Stocks: Proven Toolbox For Financial Success",1,0,195,7884,118,68,0,0,1,0,10,1,0,0,0
"Forex Trading A-Z™ - With LIVE Examples of Forex Trading",1,0,195,16900,2476,52,0,1,0,0,5.5,1,0,0,0
"Introduction to Finance, Accounting, Modeling and Valuation",1,0,200,11441,1118,61,1,0,0,0,4.5,1,0,0,0
"Beginner to Pro in Excel: Financial Modeling and Valuation",1,0,195,22257,2697,138,1,0,0,0,7.5,1,0,0,0
"The Complete Investment Banking Course 2017",1,0,195,8575,809,110,1,0,0,0,5.5,1,0,0,0
"The Complete Financial Analyst Course 2017",1,0,195,24481,2347,174,1,0,0,0,10,1,0,0,0
"Python for Finance: Investment Fundamentals & Data Analytics",1,0,195,3811,278,103,1,0,0,0,6.5,1,0,0,0
"Financial Modeling for Startups & Small Businesses",1,0,195,4991,137,79,0,1,0,0,11.5,1,0,0,0
"Options Trading - How to Win with Weekly Options",1,0,115,7489,1190,25,0,0,1,0,1,1,0,0,0
"Black Algo Trading: Build Your Trading Robot",1,0,200,20195,1113,227,1,0,0,0,16,1,0,0,0
"Accounting & Financial Statement Analysis: Complete Training",1,0,150,10042,594,43,1,0,0,0,3,1,0,0,0
"Cryptocurrency Trading: Complete Guide To Trading Altcoins",1,0,95,367,42,35,1,0,0,0,5,1,0,0,0
"Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!",1,0,200,10603,872,42,1,0,0,0,5.5,1,0,0,0
"Three Steps Trading - Live Trading - Real Account",1,0,190,1197,11,46,1,0,0,0,5,1,0,0,0
"Option Trading for Rookies:  Understand Options Completely",1,0,150,2893,65,62,1,0,0,0,2,1,0,0,0
"How I Learned Stock Trading (and How You Can Too)",1,0,200,1580,12,53,0,0,0,1,2,1,0,0,0
"Learn to Trade for Profit: Find and Trade Winning Stocks",1,0,95,10605,71,77,1,0,0,0,3,1,0,0,0
"Trading Inside Bars - Master 1 Easy Pattern To Be Successful",1,0,125,2996,200,23,0,0,1,0,2,1,0,0,0
"Four Fundamentals of Financial Planning",1,0,30,6219,23,20,1,0,0,0,1,1,0,0,0
"Options Trading - Calendar Spread Course for Every Trader",1,0,200,1113,11,17,1,0,0,0,1.5,1,0,0,0
"Dividend Investing: Build Your Portfolio for a Better Future",1,0,60,8314,83,47,0,1,0,0,4,1,0,0,0
"Learn Accounting. Understand Business.",1,0,200,5572,123,33,0,1,0,0,5.5,1,0,0,0
"How to Consistently Win Trading Stocks in 30 Days or Less",1,0,145,1433,169,15,0,0,1,0,1,1,0,0,0
"A Beginner's Guide to Quantopian Futures API",1,0,20,936,6,11,0,0,1,0,1.5,1,0,0,0
"How to Buy Cheap Options - Options Trading Pricing Model",1,0,200,658,2,19,1,0,0,0,1,1,0,0,0
"Excel Crash Course: Master Excel for Financial Analysis",1,0,105,8121,689,40,1,0,0,0,3.5,1,0,0,0
"Comprehensive Guide to Financial Markets, Investing &Trading",1,0,60,4187,600,79,0,1,0,0,9,1,0,0,0
"Stock Trading Ninja: Complete System For Trading Success",1,0,155,9445,497,38,1,0,0,0,4.5,1,0,0,0
"Hedge and Mutual Fund Careers: The Complete Guide",1,0,200,3255,340,102,1,0,0,0,8.5,1,0,0,0
"Algorithmic Trading In Forex: Create Your First Forex Robot!",1,0,185,7941,713,40,1,0,0,0,6.5,1,0,0,0
"The Power Modeling Bootcamp: Advanced Excel in 10 Days",1,0,150,1680,158,76,1,0,0,0,5.5,1,0,0,0
"Options Trading Basics (3-Course Bundle)",1,0,180,10100,985,45,0,1,0,0,11,1,0,0,0
