"course_title","price","num_subscribers","num_reviews","num_lectures","content_duration","is_paid.f","level.f","subject.f"
"Ultimate Investment Banking Course",200,2147,23,51,1.5,"True","All Levels","Business Finance"
"Complete GST Course & Certification - Grow Your CA Practice",75,2792,923,274,39,"True","All Levels","Business Finance"
"Financial Modeling for Business Analysts and Consultants",45,2174,74,51,2.5,"True","Intermediate Level","Business Finance"
"Beginner to Pro - Financial Analysis in Excel 2017",95,2451,11,36,3,"True","All Levels","Business Finance"
"How To Maximize Your Profits Trading Options",200,1276,45,26,2,"True","Intermediate Level","Business Finance"
"Trading Penny Stocks: A Guide for All Levels In 2017",150,9221,138,25,3,"True","All Levels","Business Finance"
"Investing And Trading For Beginners: Mastering Price Charts",65,1540,178,26,1,"True","Beginner Level","Business Finance"
"Trading Stock Chart Patterns For Immediate, Explosive Gains",95,2917,148,23,2.5,"True","All Levels","Business Finance"
"Options Trading 3 : Advanced Stock Profit and Success Method",195,5172,34,38,2.5,"True","Expert Level","Business Finance"
"The Only Investment Strategy You Need For Your Retirement",200,827,14,15,1,"True","All Levels","Business Finance"
"Forex Trading Secrets of the Pros With Amazon's AWS",200,4284,93,76,5,"True","All Levels","Business Finance"
"Trading Options With Money Flow",200,1380,42,17,1,"True","All Levels","Business Finance"
"Financial Management Risk and Return For Securities",30,3607,21,19,1.5,"True","All Levels","Business Finance"
"Forex Trading Course: Work Smarter Not Harder Proven Results",195,4061,52,16,2,"True","All Levels","Business Finance"
"Python Algo Trading: Sentiment Trading with News",200,294,19,42,7,"True","All Levels","Business Finance"
"Short Selling: Learn To Sell Stocks Before The Fall",75,2276,106,19,1.5,"True","Intermediate Level","Business Finance"
"Basic Technical Analysis: Learn the structure of the market",20,4919,79,16,1.5,"True","Beginner Level","Business Finance"
"The Complete Chart Pattern Trading Course: A Proven Approach",200,2666,115,52,4,"True","All Levels","Business Finance"
"7 Deadly Mistakes of Investing that Will Slash Your Profits!",50,5354,24,23,1.5,"True","All Levels","Business Finance"
"Financial Statements Made Easy",95,8095,249,12,0.583333333333333,"True","Beginner Level","Business Finance"
"Winning Forex Trading with Live Forex Trading Examples",200,809,3,25,2,"True","All Levels","Business Finance"
